,STATE_x,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,Percentage_of_People_Racialized_as_Black,Total_Population
0,Alabama,1,10,Autauga,20.9,58805
1,Alabama,1,30,Baldwin,9.0,231767
2,Alabama,1,50,Barbour,48.6,25223
3,Alabama,1,70,Bibb,20.8,22293
4,Alabama,1,90,Blount,2.1,59134
5,Alabama,1,110,Bullock,72.3,10357
6,Alabama,1,130,Butler,45.9,19051
7,Alabama,1,150,Calhoun,23.6,116441
8,Alabama,1,170,Chambers,40.3,34772
9,Alabama,1,190,Cherokee,4.9,24971
10,Alabama,1,210,Chilton,10.1,45014
11,Alabama,1,230,Choctaw,42.3,12665
12,Alabama,1,250,Clarke,45.5,23087
13,Alabama,1,270,Clay,15.5,14236
14,Alabama,1,290,Cleburne,3.7,15056
15,Alabama,1,310,Coffee,18.4,53465
16,Alabama,1,330,Colbert,17.7,57227
17,Alabama,1,350,Conecuh,45.1,11597
18,Alabama,1,370,Coosa,30.5,10387
19,Alabama,1,390,Covington,13.5,37570
20,Alabama,1,410,Crenshaw,25.5,13194
21,Alabama,1,430,Cullman,1.6,87866
22,Alabama,1,450,Dale,22.8,49326
23,Alabama,1,470,Dallas,71.5,38462
24,Alabama,1,490,DeKalb,2.2,71608
25,Alabama,1,510,Elmore,21.9,87977
26,Alabama,1,530,Escambia,31.5,36757
27,Alabama,1,550,Etowah,16.2,103436
28,Alabama,1,570,Fayette,12.0,16321
29,Alabama,1,590,Franklin,4.6,32113
30,Alabama,1,610,Geneva,10.2,26659
31,Alabama,1,630,Greene,82.2,7730
32,Alabama,1,650,Hale,57.7,14785
33,Alabama,1,670,Henry,25.9,17146
34,Alabama,1,690,Houston,28.2,107202
35,Alabama,1,710,Jackson,4.1,52579
36,Alabama,1,730,Jefferson,42.9,674721
37,Alabama,1,750,Lamar,11.6,13972
38,Alabama,1,770,Lauderdale,11.2,93564
39,Alabama,1,790,Lawrence,11.1,33073
40,Alabama,1,810,Lee,24.1,174241
41,Alabama,1,830,Limestone,14.4,103570
42,Alabama,1,850,Lowndes,71.1,10311
43,Alabama,1,870,Macon,80.9,19532
44,Alabama,1,890,Madison,25.7,388153
45,Alabama,1,910,Marengo,53.8,19323
46,Alabama,1,930,Marion,5.0,29341
